Date,Symbol,Close,y,pred,pred_chg,act_chg,correct,profit
2018-04-11,RELIANCE,930.85,970.5,918.1019999999997,-12.748000000000275,39.64999999999998,-1,-39.64999999999998
2018-04-12,RELIANCE,928.7,975.35,915.1580000000002,-13.541999999999803,46.64999999999998,-1,-46.64999999999998
2018-04-13,RELIANCE,938.85,996.3,909.1984000000006,-29.651599999999462,57.44999999999993,-1,-57.44999999999993
2018-04-16,RELIANCE,937.05,963.3,926.4879999999995,-10.562000000000467,26.25,-1,-26.25
2018-04-17,RELIANCE,944.25,972.7,923.8865999999997,-20.363400000000297,28.450000000000045,-1,-28.450000000000045
2018-04-18,RELIANCE,938.0,961.6,922.5838000000001,-15.41619999999989,23.600000000000023,-1,-23.600000000000023
2018-04-19,RELIANCE,942.3,953.95,924.8092000000001,-17.49079999999981,11.650000000000091,-1,-11.650000000000091
2018-04-20,RELIANCE,927.9,971.0,919.2964000000005,-8.60359999999946,43.10000000000002,-1,-43.10000000000002
2018-04-23,RELIANCE,936.0,967.1,918.1120000000011,-17.887999999998897,31.100000000000023,-1,-31.100000000000023
2018-04-24,RELIANCE,970.05,976.7,902.6934000000003,-67.35659999999962,6.650000000000091,-1,-6.650000000000091
2018-04-25,RELIANCE,970.5,981.15,902.3905999999998,-68.10940000000016,10.649999999999977,-1,-10.649999999999977
2018-04-26,RELIANCE,975.35,989.25,903.3699999999997,-71.98000000000036,13.899999999999977,-1,-13.899999999999977
2018-04-27,RELIANCE,996.3,986.6,930.4431999999988,-65.85680000000116,-9.699999999999932,1,9.699999999999932
2018-04-30,RELIANCE,963.3,978.95,923.4079999999985,-39.89200000000142,15.650000000000091,-1,-15.650000000000091
2018-05-02,RELIANCE,972.7,956.15,920.8749999999994,-51.825000000000614,-16.550000000000068,1,16.550000000000068
2018-05-03,RELIANCE,961.6,945.35,909.9411999999995,-51.6588000000005,-16.25,1,16.25
2018-05-04,RELIANCE,953.95,933.85,919.7125999999994,-34.23740000000066,-20.100000000000023,1,20.100000000000023
2018-05-07,RELIANCE,971.0,931.35,907.2899999999995,-63.71000000000049,-39.64999999999998,1,39.64999999999998
2018-05-08,RELIANCE,967.1,926.75,921.2255999999991,-45.874400000000946,-40.35000000000002,1,40.35000000000002
2018-05-09,RELIANCE,976.7,912.25,922.7330000000001,-53.966999999999985,-64.45000000000005,1,64.45000000000005
2018-05-10,RELIANCE,981.15,915.85,936.4585999999989,-44.69140000000107,-65.29999999999995,1,65.29999999999995
2018-05-11,RELIANCE,989.25,920.8,947.6125999999991,-41.637400000000866,-68.45000000000005,1,68.45000000000005
2018-05-14,RELIANCE,986.6,920.4,954.3214000000002,-32.27859999999987,-66.20000000000005,1,66.20000000000005
2018-05-15,RELIANCE,978.95,917.45,957.3352000000012,-21.61479999999881,-61.5,1,61.5
2018-05-16,RELIANCE,956.15,916.1,936.9353999999988,-19.214600000001155,-40.049999999999955,1,40.049999999999955
2018-05-17,RELIANCE,945.35,921.35,929.0145999999992,-16.335400000000845,-24.0,1,24.0
2018-05-18,RELIANCE,933.85,930.55,925.3487999999993,-8.501200000000722,-3.300000000000068,1,3.300000000000068
2018-05-21,RELIANCE,931.35,940.85,928.2660000000002,-3.0839999999998327,9.5,-1,-9.5
2018-05-22,RELIANCE,926.75,947.65,916.5302000000005,-10.219799999999509,20.899999999999977,-1,-20.899999999999977
2018-05-23,RELIANCE,912.25,954.4,916.2029999999994,3.952999999999406,42.14999999999998,1,42.14999999999998
2018-05-24,RELIANCE,915.85,971.35,916.7682000000002,0.9182000000001835,55.5,1,55.5
2018-05-25,RELIANCE,920.8,984.35,924.6941999999998,3.8941999999998416,63.55000000000007,1,63.55000000000007
2018-05-28,RELIANCE,920.4,982.65,917.4944000000006,-2.9055999999993674,62.25,-1,-62.25
2018-05-29,RELIANCE,917.45,997.15,918.4952000000002,1.0452000000001362,79.69999999999993,1,79.69999999999993
2018-05-30,RELIANCE,916.1,1002.5,909.7865999999987,-6.313400000001366,86.39999999999998,-1,-86.39999999999998
2018-05-31,RELIANCE,921.35,1007.95,908.3067999999973,-13.043200000002685,86.60000000000002,-1,-86.60000000000002
2018-06-01,RELIANCE,930.55,1014.2,909.6147999999991,-20.935200000000805,83.65000000000009,-1,-83.65000000000009
2018-06-04,RELIANCE,940.85,1015.55,924.2177999999989,-16.63220000000115,74.69999999999993,-1,-74.69999999999993
2018-06-05,RELIANCE,947.65,996.05,933.1207999999983,-14.529200000001651,48.39999999999998,-1,-48.39999999999998
2018-06-06,RELIANCE,954.4,1019.25,929.7371999999989,-24.662800000001084,64.85000000000002,-1,-64.85000000000002
2018-06-07,RELIANCE,971.35,1031.95,938.4561999999985,-32.893800000001534,60.60000000000002,-1,-60.60000000000002
2018-06-08,RELIANCE,984.35,1012.5,944.2801999999994,-40.06980000000067,28.149999999999977,-1,-28.149999999999977
2018-06-11,RELIANCE,982.65,1004.45,935.0091999999992,-47.64080000000081,21.800000000000068,-1,-21.800000000000068
2018-06-12,RELIANCE,997.15,978.95,935.8155999999997,-61.3344000000003,-18.199999999999932,1,18.199999999999932
2018-06-13,RELIANCE,1002.5,965.85,940.9769999999994,-61.52300000000059,-36.64999999999998,1,36.64999999999998
2018-06-14,RELIANCE,1007.95,944.95,943.3903999999991,-64.55960000000096,-63.0,1,63.0
2018-06-15,RELIANCE,1014.2,972.45,953.7858000000003,-60.41419999999971,-41.75,1,41.75
2018-06-18,RELIANCE,1015.55,960.6,951.7452000000003,-63.80479999999966,-54.94999999999993,1,54.94999999999993
2018-06-19,RELIANCE,996.05,971.3,956.5717999999996,-39.478200000000356,-24.75,1,24.75
2018-06-20,RELIANCE,1019.25,990.1,943.0871999999995,-76.16280000000052,-29.149999999999977,1,29.149999999999977
2018-06-21,RELIANCE,1031.95,964.5,951.1150000000006,-80.83499999999947,-67.45000000000005,1,67.45000000000005
2018-06-22,RELIANCE,1012.5,977.55,944.5702000000007,-67.92979999999932,-34.950000000000045,1,34.950000000000045
2018-06-25,RELIANCE,1004.45,997.1,939.192400000001,-65.257599999999,-7.350000000000023,1,7.350000000000023
2018-06-26,RELIANCE,978.95,1025.7,946.9182000000013,-32.031799999998725,46.75,-1,-46.75
2018-06-27,RELIANCE,965.85,1038.8,950.9992000000002,-14.850799999999822,72.94999999999993,-1,-72.94999999999993
2018-06-28,RELIANCE,944.95,1082.35,947.4050000000002,2.4550000000001546,137.39999999999986,1,137.39999999999986
2018-06-29,RELIANCE,972.45,1099.8,940.3635999999999,-32.08640000000014,127.34999999999991,-1,-127.34999999999991
2018-07-02,RELIANCE,960.6,1076.2,944.4092000000003,-16.19079999999974,115.60000000000002,-1,-115.60000000000002
2018-07-03,RELIANCE,971.3,1092.35,937.7781999999993,-33.52180000000067,121.04999999999995,-1,-121.04999999999995
2018-07-04,RELIANCE,990.1,1092.55,935.6242000000001,-54.475799999999936,102.44999999999993,-1,-102.44999999999993
2018-07-05,RELIANCE,964.5,1104.85,956.7192000000009,-7.78079999999909,140.3499999999999,-1,-140.3499999999999
2018-07-06,RELIANCE,977.55,1128.65,943.4170000000003,-34.1329999999997,151.10000000000014,-1,-151.10000000000014
2018-07-09,RELIANCE,997.1,1120.3,946.4602000000012,-50.639799999998786,123.19999999999993,-1,-123.19999999999993
2018-07-10,RELIANCE,1025.7,1110.95,973.8342000000014,-51.86579999999867,85.25,-1,-85.25
2018-07-11,RELIANCE,1038.8,1115.15,970.0852000000009,-68.71479999999906,76.35000000000014,-1,-76.35000000000014
2018-07-12,RELIANCE,1082.35,1110.65,963.2898000000014,-119.06019999999853,28.300000000000182,-1,-28.300000000000182
2018-07-13,RELIANCE,1099.8,1129.85,960.8432000000007,-138.95679999999925,30.049999999999955,-1,-30.049999999999955
2018-07-16,RELIANCE,1076.2,1151.4,963.5900000000016,-112.60999999999842,75.20000000000005,-1,-75.20000000000005
2018-07-17,RELIANCE,1092.35,1186.0,966.0070000000005,-126.34299999999939,93.65000000000009,-1,-93.65000000000009
2018-07-18,RELIANCE,1092.55,1192.35,950.6628000000013,-141.88719999999864,99.79999999999995,-1,-99.79999999999995
2018-07-19,RELIANCE,1104.85,1168.35,952.7168000000012,-152.13319999999874,63.5,-1,-63.5
2018-07-20,RELIANCE,1128.65,1176.95,996.7518000000002,-131.89819999999986,48.299999999999955,-1,-48.299999999999955
2018-07-23,RELIANCE,1120.3,1192.6,1061.4773999999993,-58.82260000000065,72.29999999999995,-1,-72.29999999999995
2018-07-24,RELIANCE,1110.95,1184.2,1060.9411999999986,-50.00880000000143,73.25,-1,-73.25
2018-07-25,RELIANCE,1115.15,1217.7,1055.5153999999993,-59.63460000000077,102.54999999999995,-1,-102.54999999999995
2018-07-26,RELIANCE,1110.65,1217.95,1057.390799999999,-53.2592000000011,107.29999999999995,-1,-107.29999999999995
2018-07-27,RELIANCE,1129.85,1204.2,1169.4295999999995,39.57959999999957,74.35000000000014,1,74.35000000000014
2018-07-30,RELIANCE,1151.4,1187.7,1397.3248000000015,245.92480000000137,36.299999999999955,1,36.299999999999955
2018-07-31,RELIANCE,1186.0,1210.6,1425.737800000001,239.73780000000102,24.59999999999991,1,24.59999999999991
2018-08-01,RELIANCE,1192.35,1200.8,1419.1740000000007,226.82400000000075,8.450000000000045,1,8.450000000000045
2018-08-02,RELIANCE,1168.35,1203.75,1367.5178000000008,199.16780000000085,35.40000000000009,1,35.40000000000009
2018-08-03,RELIANCE,1176.95,1234.9,1383.4088000000008,206.4588000000008,57.950000000000045,1,57.950000000000045
2018-08-06,RELIANCE,1192.6,1247.2,1436.5034000000003,243.90340000000037,54.600000000000136,1,54.600000000000136
2018-08-07,RELIANCE,1184.2,1269.45,1431.3680000000004,247.16800000000035,85.25,1,85.25
2018-08-08,RELIANCE,1217.7,1277.5,1430.0010000000009,212.30100000000084,59.799999999999955,1,59.799999999999955
2018-08-09,RELIANCE,1217.95,1291.5,1432.0690000000018,214.11900000000173,73.54999999999995,1,73.54999999999995
2018-08-10,RELIANCE,1204.2,1319.0,1415.3608000000008,211.1608000000008,114.79999999999995,1,114.79999999999995
2018-08-13,RELIANCE,1187.7,1294.2,1322.6782000000023,134.9782000000023,106.5,1,106.5
2018-08-14,RELIANCE,1210.6,1274.45,1328.1386000000018,117.5386000000019,63.850000000000136,1,63.850000000000136
2018-08-16,RELIANCE,1200.8,1241.65,1305.1938,104.39380000000006,40.850000000000136,1,40.850000000000136
2018-08-17,RELIANCE,1203.75,1229.15,1299.4960000000012,95.74600000000123,25.40000000000009,1,25.40000000000009
2018-08-20,RELIANCE,1234.9,1241.95,1302.1886,67.28859999999986,7.0499999999999545,1,7.0499999999999545
